Time (S)	Lockin (mV)	Temp (V)
332.31	0.282638	0.947227
333.84	0.278012	0.948088
335.36	0.280633	0.948705
336.89	0.280479	0.950439
338.42	0.288343	0.950863
339.95	0.281404	0.951814
341.48	0.279091	0.952740
343.00	0.283255	0.953857
344.53	0.280633	0.954474
346.06	0.280325	0.955387
347.59	0.289114	0.955669
349.12	0.280016	0.957789
350.64	0.277241	0.957134
352.17	0.280171	0.958702
353.70	0.281867	0.959794
355.23	0.284642	0.959627
356.76	0.282638	0.960642
358.28	0.276316	0.960925
359.81	0.283871	0.960449
361.34	0.278475	0.962030
362.87	0.285413	0.963160
364.40	0.285876	0.962762
365.92	0.280479	0.963880
367.45	0.277549	0.964060
368.98	0.277704	0.964445
370.51	0.286493	0.964561
372.03	0.284554	0.965589
373.56	0.282484	0.966321
375.08	0.282638	0.966244
376.61	0.278475	0.966874
378.14	0.285105	0.967838
379.66	0.283203	0.967380
381.18	0.279785	0.968492
382.71	0.286296	0.968248
384.23	0.282142	0.968999
385.75	0.278944	0.969706
387.28	0.280787	0.969958
388.80	0.283409	0.969739
390.33	0.281867	0.970138
391.86	0.283255	0.970652
393.39	0.277087	0.971718
394.92	0.282792	0.971718
396.44	0.287880	0.972052
397.97	0.284642	0.971744
399.50	0.282946	0.972553
401.03	0.274774	0.972810
402.56	0.279091	0.972888
404.09	0.284180	0.975599
405.61	0.281404	0.973350
407.14	0.282329	0.974545
408.67	0.283563	0.974288
410.20	0.280325	0.974352
411.72	0.284488	0.974224
413.25	0.283871	0.974751
414.78	0.279245	0.974879
416.31	0.281867	0.974751
417.83	0.278476	0.975602
419.35	0.279985	0.974731
420.87	0.273437	0.974731
422.39	0.280969	0.975874
423.92	0.282638	0.976575
425.44	0.280479	0.976383
426.97	0.282484	0.976524
428.50	0.280171	0.976665
430.03	0.282792	0.977012
431.56	0.281404	0.977128
433.08	0.279245	0.982512
434.61	0.284334	0.984388
436.14	0.278475	0.984401
437.67	0.283717	0.984478
439.20	0.287880	0.984439
